tubeOD (V),,,OD measured,,,LabJack Output,,,
,,,,,,3709274182,0.865967,1.368439,0.695706
,,,,,,3709274212,0.835798,1.374393,0.671298
,,,,,,3709274242,0.845855,1.402373,0.659986
,,,,,,3709274272,0.865967,1.358318,0.685586
,,,,,,3709274302,0.850883,1.355937,0.692134
,,,,,,3709274332,0.855911,1.362486,0.676656
,,,,,,3709274362,0.845855,1.364272,0.668321
,,,,,,3709274392,0.845855,1.398206,0.650461
,,,,,,3709274422,0.860939,1.377369,0.679632
,,,,,,3709274452,0.845855,1.383918,0.679632
,,,,,,3709274482,0.850883,1.36963,0.657009
,,,,,,3709274512,0.870995,1.374393,0.673084
,,,,,,3709274542,0.855911,1.377965,0.68499
,,,,,,3709274572,0.855911,1.358318,0.662963
,,,,,,3709274602,0.845855,1.385704,0.64927
,,,,,,3709274632,0.855911,1.381537,0.666535
,,,,,,3709274662,0.870995,1.35177,0.661177
,,,,,,3709274692,0.845855,1.372607,0.674274
,,,,,,3709274722,0.840827,1.36189,0.639745
,,,,,,3709274752,0.845855,1.356532,0.66713
,,,,,,3709274782,0.840827,1.37082,0.667726
,,,,,,3709274812,0.845855,1.391657,0.652247
,,,,,,3709274842,0.840827,1.370225,0.647484
,,,,,,3709274872,0.845855,1.385109,0.644507
,,,,,,3709274902,0.835798,1.377965,0.639149
,,,,,,3709274932,0.855911,1.373797,0.662368
,,,,,,3709274962,0.850883,1.382132,0.662368
,,,,,,3709274992,0.845855,1.354151,0.656414
,,,,,,3709275022,0.845855,1.388681,0.636173
,,,,,,3709275052,0.840827,1.384513,0.636768
,,,,,,3709275082,0.840827,1.376774,0.67606
,,,,,,3709275112,0.860939,1.371416,0.646889
,,,,,,3709275142,0.860939,1.367844,0.657605
,,,,,,3709275172,0.835798,1.363676,0.667726
,,,,,,3709275202,0.835798,1.376179,0.626647
,,,,,,3709275232,0.845855,1.391062,0.650461
,,,,,,3709275262,0.870995,1.3607,0.661177
,,,,,,3709275292,0.850883,1.347602,0.664749
,,,,,,3709275322,0.845855,1.332719,0.668321
,,,,,,3709275352,0.876024,1.367248,0.642721
,,,,,,3709275382,0.870995,1.34403,0.658795
,,,,,,3709275412,0.855911,1.338672,0.658795
,,,,,,3709275442,0.835798,1.389276,0.617717
,,,,,,3709275472,0.83077,1.363081,0.652842
,,,,,,3709275502,0.845855,1.3607,0.64034
,,,,,,3709275532,0.855911,1.374988,0.646889
,,,,,,3709275562,0.850883,1.35177,0.632005
,,,,,,3709275592,0.865967,1.35177,0.653437
,,,,,,3709275622,0.83077,1.385109,0.633791
,,,,,,3709275652,0.835798,1.384513,0.640935
,,,,,,3709275682,0.850883,1.385109,0.620098
,,,,,,3709275712,0.820714,1.366058,0.641531
,,,,,,3709275742,0.855911,1.341054,0.641531
,,,,,,3709275772,0.835798,1.372607,0.636173
,,,,,,3709275802,0.825742,1.356532,0.606406
,,,,,,3709275832,0.860939,1.347602,0.617122
,,,,,,3709275862,0.83077,1.384513,0.620098
,,,,,,3709275892,0.855911,1.330933,0.64927
,,,,,,3709275922,0.83077,1.371416,0.643912
,,,,,,3709275952,0.850883,1.361295,0.643317
,,,,,,3709275982,0.820714,1.364272,0.630815
,,,,,,3709276012,0.865967,1.327956,0.634387
,,,,,,3709276042,0.845855,1.35296,0.649865
,,,,,,3709276072,0.835798,1.377965,0.629029
,,,,,,3709276102,0.850883,1.349984,0.633196
,,,,,,3709276132,0.860939,1.333314,0.650461
,,,,,,3709276162,0.835798,1.373202,0.624861
,,,,,,3709276192,0.835798,1.341649,0.643317
,,,,,,3709276222,0.860939,1.332123,0.609978
,,,,,,3709276252,0.825742,1.362486,0.635577
,,,,,,3709276282,0.865967,1.325575,0.60462
,,,,,,3709276312,0.850883,1.345816,0.621289
,,,,,,3709276342,0.855911,1.334505,0.63141
,,,,,,3709276372,0.840827,1.374393,0.619503
,,,,,,3709276402,0.825742,1.362486,0.629029
,,,,,,3709276432,0.820714,1.376774,0.639149
,,,,,,3709276462,0.860939,1.3351,0.637363
,,,,,,3709276492,0.840827,1.34284,0.621884
,,,,,,3709276522,0.845855,1.349984,0.599262
,,,,,,3709276552,0.835798,1.331528,0.625457
,,,,,,3709276582,0.850883,1.339863,0.607001
,,,,,,3709276612,0.825742,1.377369,0.608787
,,,,,,3709276642,0.855911,1.345816,0.627838
,,,,,,3709276672,0.815686,1.347007,0.620694
,,,,,,3709276702,0.855911,1.355342,0.61474
,,,,,,3709276732,0.845855,1.358914,0.602834
,,,,,,3709276762,0.850883,1.347007,0.619503
,,,,,,3709276792,0.835798,1.361295,0.60581
,,,,,,3709276822,0.835798,1.335696,0.599262
,,,,,,3709276852,0.825742,1.365462,0.601048
,,,,,,3709276882,0.840827,1.341649,0.606406
,,,,,,3709276912,0.83077,1.37082,0.607596
,,,,,,3709276942,0.820714,1.347602,0.629029
,,,,,,3709276972,0.83077,1.334505,0.638554
,,,,,,3709277002,0.83077,1.364272,0.595094
,,,,,,3709277032,0.850883,1.326765,0.60462
,,,,,,3709277062,0.845855,1.341649,0.591522
,,,,,,3709277092,0.825742,1.372011,0.612359
,,,,,,3709277122,0.845855,1.313073,0.617122
,,,,,,3709277152,0.825742,1.360104,0.581997
,,,,,,3709277182,0.815686,1.3607,0.603429
,,,,,,3709277212,0.83077,1.347602,0.597476
,,,,,,3709277242,0.825742,1.358318,0.620098
,,,,,,3709277272,0.845855,1.314859,0.62248
,,,,,,3709277302,0.850883,1.323193,0.603429
,,,,,,3709277332,0.835798,1.34284,0.590927
,,,,,,3709277362,0.845855,1.329147,0.590927
,,,,,,3709277392,0.835798,1.343435,0.596285
,,,,,,3709277422,0.825742,1.338077,0.601048
,,,,,,3709277452,0.840827,1.327361,0.561755
,,,,,,3709277482,0.855911,1.329147,0.593904
,,,,,,3709277512,0.83077,1.360104,0.555802
,,,,,,3709277542,0.845855,1.323193,0.601643
,,,,,,3709277572,0.845855,1.31724,0.601048
,,,,,,3709277602,0.83077,1.34284,0.604024
,,,,,,3709277632,0.820714,1.335696,0.584973
,,,,,,3709277662,0.815686,1.348793,0.576043
,,,,,,3709277692,0.810658,1.354151,0.614145
,,,,,,3709277722,0.820714,1.361295,0.579615
,,,,,,3709277752,0.835798,1.35177,0.576639
,,,,,,3709277782,0.845855,1.326765,0.588546
,,,,,,3709277812,0.820714,1.328551,0.616526
,,,,,,3709277842,0.825742,1.356532,0.570685
,,,,,,3709277872,0.825742,1.339863,0.569495
,,,,,,3709277902,0.835798,1.322598,0.589141
,,,,,,3709277932,0.845855,1.306524,0.600452
,,,,,,3709277962,0.840827,1.305333,0.593308
,,,,,,3709277992,0.83077,1.330933,0.585569
,,,,,,3709278022,0.835798,1.328551,0.599857
,,,,,,3709278052,0.855911,1.328551,0.572471
,,,,,,3709278082,0.83077,1.344626,0.580211
,,,,,,3709278112,0.83077,1.345816,0.568304
,,,,,,3709278142,0.840827,1.29164,0.562946
,,,,,,3709278172,0.825742,1.333314,0.572471
,,,,,,3709278202,0.825742,1.336291,0.60581
,,,,,,3709278232,0.83077,1.310096,0.567709
,,,,,,3709278262,0.805629,1.361295,0.559374
,,,,,,3709278292,0.83077,1.308905,0.565923
,,,,,,3709278322,0.805629,1.345816,0.568899
,,,,,,3709278352,0.835798,1.304143,0.562946
,,,,,,3709278382,0.825742,1.324979,0.540323
,,,,,,3709278412,0.83077,1.322003,0.55223
,,,,,,3709278442,0.825742,1.327361,0.568304
,,,,,,3709278472,0.83077,1.318431,0.574257
,,,,,,3709278502,0.815686,1.327361,0.572471
,,,,,,3709278532,0.845855,1.296403,0.543895
,,,,,,3709278562,0.805629,1.329742,0.530202
,,,,,,3709278592,0.820714,1.324384,0.554016
,,,,,,3709278622,0.83077,1.295212,0.564137
,,,,,,3709278652,0.835798,1.327361,0.558183
,,,,,,3709278682,0.820714,1.341649,0.551039
,,,,,,3709278712,0.815686,1.348198,0.558779
,,,,,,3709278742,0.805629,1.332123,0.539728
,,,,,,3709278772,0.805629,1.332719,0.553421
,,,,,,3709278802,0.815686,1.339268,0.562351
,,,,,,3709278832,0.820714,1.354151,0.548062
,,,,,,3709278862,0.83077,1.318431,0.558183
,,,,,,3709278892,0.815686,1.350579,0.537346
,,,,,,3709278922,0.805629,1.334505,0.533774
,,,,,,3709278952,0.835798,1.302357,0.57009
,,,,,,3709278982,0.83077,1.319621,0.580806
,,,,,,3709279012,0.815686,1.339268,0.530202
,,,,,,3709279042,0.815686,1.335696,0.548658
,,,,,,3709279072,0.83077,1.296999,0.562946
,,,,,,3709279102,0.83077,1.347602,0.556993
,,,,,,3709279132,0.83077,1.317835,0.554016
,,,,,,3709279162,0.820714,1.345816,0.520677
,,,,,,3709279192,0.825742,1.308905,0.5433
,,,,,,3709279222,0.825742,1.295212,0.548658
,,,,,,3709279252,0.805629,1.321407,0.543895
,,,,,,3709279282,0.810658,1.300571,0.562946
,,,,,,3709279312,0.83077,1.287473,0.551039
,,,,,,3709279342,0.815686,1.304143,0.558779
,,,,,,3709279372,0.805629,1.313073,0.545086
,,,,,,3709279402,0.800601,1.304738,0.54449
,,,,,,3709279432,0.820714,1.323789,0.558779
,,,,,,3709279462,0.810658,1.32617,0.556993
,,,,,,3709279492,0.805629,1.308905,0.510556
,,,,,,3709279522,0.810658,1.301166,0.546276
,,,,,,3709279552,0.815686,1.311287,0.554611
,,,,,,3709279582,0.825742,1.322598,0.538537
,,,,,,3709279612,0.800601,1.337482,0.502817
,,,,,,3709279642,0.805629,1.314859,0.513533
,,,,,,3709279672,0.815686,1.29938,0.542704
,,,,,,3709279702,0.805629,1.336291,0.530202
,,,,,,3709279732,0.805629,1.331528,0.515914
,,,,,,3709279762,0.83077,1.294022,0.55223
,,,,,,3709279792,0.810658,1.327361,0.501626
,,,,,,3709279822,0.825742,1.288068,0.537346
,,,,,,3709279852,0.805629,1.30831,0.540918
,,,,,,3709279882,0.810658,1.312477,0.564732
,,,,,,3709279912,0.815686,1.30831,0.545086
,,,,,,3709279942,0.795573,1.321407,0.522463
,,,,,,3709279972,0.805629,1.309501,0.524249
,,,,,,3709280002,0.815686,1.288664,0.552825
,,,,,,3709280032,0.83077,1.301166,0.523058
,,,,,,3709280062,0.815686,1.345221,0.517105
,,,,,,3709280092,0.810658,1.314859,0.540918
,,,,,,3709280122,0.800601,1.322598,0.52544
,,,,,,3709280152,0.810658,1.299975,0.514724
,,,,,,3709280182,0.83077,1.27378,0.531393
,,,,,,3709280212,0.835798,1.287473,0.531988
,,,,,,3709280242,0.815686,1.311882,0.53556
,,,,,,3709280272,0.815686,1.283901,0.512938
,,,,,,3709280302,0.810658,1.286282,0.530798
,,,,,,3709280332,0.805629,1.315454,0.501031
,,,,,,3709280362,0.820714,1.29164,0.5177
,,,,,,3709280392,0.815686,1.310096,0.501031
,,,,,,3709280422,0.810658,1.266041,0.522463
,,,,,,3709280452,0.805629,1.311882,0.520677
,,,,,,3709280482,0.810658,1.27378,0.531988
,,,,,,3709280512,0.820714,1.293426,0.531393
,,,,,,3709280542,0.785517,1.295808,0.512938
,,,,,,3709280572,0.805629,1.304143,0.509961
,,,,,,3709280602,0.795573,1.285687,0.512938
,,,,,,3709280632,0.815686,1.301761,0.496863
,,,,,,3709280662,0.800601,1.31724,0.510556
,,,,,,3709280692,0.800601,1.299975,0.496268
,,,,,,3709280722,0.800601,1.293426,0.489124
,,,,,,3709280752,0.810658,1.294617,0.514724
,,,,,,3709280782,0.790545,1.338077,0.505198
,,,,,,3709280812,0.810658,1.301166,0.504007
,,,,,,3709280842,0.795573,1.312477,0.493887
,,,,,,3709280872,0.790545,1.275566,0.505198
,,,,,,3709280902,0.795573,1.270804,0.483171
,,,,,,3709280932,0.815686,1.271399,0.488529
,,,,,,3709280962,0.795573,1.292831,0.480789
,,,,,,3709280992,0.815686,1.285092,0.513533
,,,,,,3709281022,0.790545,1.29938,0.499245
,,,,,,3709281052,0.805629,1.296999,0.476622
,,,,,,3709281082,0.805629,1.311287,0.465906
,,,,,,3709281112,0.795573,1.309501,0.483766
,,,,,,3709281142,0.805629,1.279138,0.476027
,,,,,,3709281172,0.800601,1.261874,0.509365
,,,,,,3709281202,0.805629,1.279734,0.49091
,,,,,,3709281232,0.805629,1.325575,0.484957
,,,,,,3709281262,0.800601,1.292236,0.472454
,,,,,,3709281292,0.815686,1.299975,0.501031
,,,,,,3709281322,0.810658,1.297594,0.507579
,,,,,,3709281352,0.785517,1.310096,0.485552
,,,,,,3709281382,0.785517,1.279138,0.505793
,,,,,,3709281412,0.780489,1.273185,0.497459
,,,,,,3709281442,0.795573,1.276162,0.462334
,,,,,,3709281472,0.795573,1.306524,0.471859
,,,,,,3709281502,0.795573,1.260088,0.493887
,,,,,,3709281532,0.800601,1.28152,0.49091
,,,,,,3709281562,0.800601,1.298189,0.462929
,,,,,,3709281592,0.805629,1.270208,0.479599
,,,,,,3709281622,0.815686,1.249371,0.46412
,,,,,,3709281652,0.785517,1.289259,0.458762
,,,,,,3709281682,0.785517,1.291045,0.49984
,,,,,,3709281712,0.790545,1.288068,0.470073
,,,,,,3709281742,0.785517,1.282115,0.48198
,,,,,,3709281772,0.805629,1.260683,0.467096
,,,,,,3709281802,0.795573,1.301761,0.483766
,,,,,,3709281832,0.805629,1.258897,0.471859
,,,,,,3709281862,0.810658,1.267232,0.474836
,,,,,,3709281892,0.800601,1.253539,0.45638
,,,,,,3709281922,0.780489,1.278543,0.476027
,,,,,,3709281952,0.795573,1.254729,0.463524
,,,,,,3709281982,0.770432,1.280329,0.445069
,,,,,,3709282012,0.780489,1.277352,0.495673
,,,,,,3709282042,0.785517,1.271399,0.477217
,,,,,,3709282072,0.785517,1.275566,0.480789
,,,,,,3709282102,0.790545,1.25592,0.43733
,,,,,,3709282132,0.77546,1.298189,0.434948
,,,,,,3709282162,0.785517,1.266636,0.457571
,,,,,,3709282192,0.785517,1.279734,0.473645
,,,,,,3709282222,0.800601,1.280329,0.454594
,,,,,,3709282252,0.790545,1.260683,0.476027
,,,,,,3709282282,0.805629,1.25592,0.455785
,,,,,,3709282312,0.785517,1.228535,0.471264
,,,,,,3709282342,0.795573,1.274971,0.44626
,,,,,,3709282372,0.760376,1.266041,0.473645
,,,,,,3709282402,0.785517,1.27259,0.434948
,,,,,,3709282432,0.785517,1.245204,0.481385
,,,,,,3709282462,0.790545,1.274971,0.458762
,,,,,,3709282492,0.780489,1.282115,0.471859
,,,,,,3709282522,0.765404,1.249967,0.457571
,,,,,,3709282552,0.785517,1.28271,0.443878
,,,,,,3709282582,0.770432,1.301761,0.44626
,,,,,,3709282612,0.795573,1.253539,0.440902
,,,,,,3709282642,0.810658,1.248776,0.434948
,,,,,,3709282672,0.780489,1.280329,0.43733
,,,,,,3709282702,0.795573,1.27259,0.479599
,,,,,,3709282732,0.780489,1.270208,0.430781
,,,,,,3709282762,0.790545,1.288664,0.445069
,,,,,,3709282792,0.795573,1.214842,0.450427
,,,,,,3709282822,0.77546,1.271399,0.461738
,,,,,,3709282852,0.800601,1.249371,0.420065
,,,,,,3709282882,0.785517,1.245799,0.439116
,,,,,,3709282912,0.780489,1.283306,0.454594
,,,,,,3709282942,0.760376,1.270804,0.462929
,,,,,,3709282972,0.77546,1.267232,0.430185
,,,,,,3709283002,0.760376,1.251157,0.453999
,,,,,,3709283032,0.770432,1.236869,0.443283
,,,,,,3709283062,0.790545,1.257111,0.467692
,,,,,,3709283092,0.780489,1.243418,0.45519
,,,,,,3709283122,0.785517,1.235679,0.450427
,,,,,,3709283152,0.795573,1.223177,0.42959
,,,,,,3709283182,0.765404,1.282115,0.443283
,,,,,,3709283212,0.77546,1.2202,0.434948
,,,,,,3709283242,0.765404,1.267232,0.421851
,,,,,,3709283272,0.795573,1.258301,0.445069
,,,,,,3709283302,0.785517,1.249371,0.439116
,,,,,,3709283332,0.795573,1.24699,0.428399
,,,,,,3709283362,0.770432,1.26485,0.428399
,,,,,,3709283392,0.760376,1.277948,0.426018
,,,,,,3709283422,0.77546,1.245204,0.43852
,,,,,,3709283452,0.760376,1.254134,0.436139
,,,,,,3709283482,0.755348,1.268422,0.448046
,,,,,,3709283512,0.765404,1.251753,0.431376
,,,,,,3709283542,0.770432,1.252943,0.431971
,,,,,,3709283572,0.77546,1.262469,0.418874
,,,,,,3709283602,0.77546,1.260683,0.426018
,,,,,,3709283632,0.745291,1.247585,0.412921
,,,,,,3709283662,0.765404,1.226749,0.410539
,,,,,,3709283692,0.760376,1.258301,0.436139
,,,,,,3709283722,0.795573,1.241037,0.415302
,,,,,,3709283752,0.75032,1.257111,0.402205
,,,,,,3709283782,0.780489,1.263064,0.423041
,,,,,,3709283812,0.77546,1.199958,0.426018
,,,,,,3709283842,0.770432,1.263064,0.417683
,,,,,,3709283872,0.75032,1.25592,0.423041
,,,,,,3709283902,0.770432,1.232107,0.407563
,,,,,,3709283932,0.770432,1.239846,0.413516
,,,,,,3709283962,0.785517,1.22139,0.421851
,,,,,,3709283992,0.795573,1.202935,0.383154
,,,,,,3709284022,0.765404,1.25592,0.399823
,,,,,,3709284052,0.755348,1.256515,0.405777
,,,,,,3709284082,0.755348,1.244609,0.414111
,,,,,,3709284112,0.765404,1.242823,0.402205
,,,,,,3709284142,0.765404,1.248776,0.409349
,,,,,,3709284172,0.765404,1.261874,0.38494
,,,,,,3709284202,0.770432,1.216628,0.435543
,,,,,,3709284232,0.765404,1.21246,0.440902
,,,,,,3709284262,0.780489,1.233893,0.414707
,,,,,,3709284292,0.765404,1.235083,0.413516
,,,,,,3709284322,0.740263,1.24699,0.377796
,,,,,,3709284352,0.740263,1.253539,0.403991
,,,,,,3709284382,0.760376,1.204721,0.405181
,,,,,,3709284412,0.755348,1.242823,0.405777
,,,,,,3709284442,0.760376,1.253539,0.371247
,,,,,,3709284472,0.755348,1.261278,0.395656
,,,,,,3709284502,0.770432,1.231511,0.381368
,,,,,,3709284532,0.755348,1.238655,0.377796
,,,,,,3709284562,0.755348,1.251157,0.3772
,,,,,,3709284592,0.740263,1.248776,0.387321
,,,,,,3709284622,0.755348,1.245799,0.385535
,,,,,,3709284652,0.755348,1.205912,0.423637
,,,,,,3709284682,0.755348,1.260088,0.380177
,,,,,,3709284712,0.745291,1.22139,0.396251
,,,,,,3709284742,0.755348,1.216032,0.387916
,,,,,,3709284772,0.770432,1.230321,0.373628
,,,,,,3709284802,0.75032,1.223177,0.385535
,,,,,,3709284832,0.780489,1.197577,0.387321
,,,,,,3709284862,0.760376,1.222581,0.387916
,,,,,,3709284892,0.75032,1.251753,0.400419
,,,,,,3709284922,0.760376,1.217818,0.403991
,,,,,,3709284952,0.735235,1.199363,0.412921
,,,,,,3709284982,0.735235,1.242823,0.371842
,,,,,,3709285012,0.745291,1.238655,0.38613
,,,,,,3709285042,0.735235,1.218414,0.371842
,,,,,,3709285072,0.745291,1.242823,0.38494
,,,,,,3709285102,0.760376,1.195196,0.393274
,,,,,,3709285132,0.760376,1.197577,0.387916
,,,,,,3709285162,0.765404,1.185075,0.381963
,,,,,,3709285192,0.75032,1.230321,0.366484
,,,,,,3709285222,0.745291,1.204126,0.373628
,,,,,,3709285252,0.730207,1.216032,0.373628
,,,,,,3709285282,0.745291,1.252348,0.35041
,,,,,,3709285312,0.710094,1.223177,0.397442
,,,,,,3709285342,0.75032,1.219009,0.381963
,,,,,,3709285372,0.75032,1.204126,0.377796
,,,,,,3709285402,0.735235,1.242823,0.370652
,,,,,,3709285432,0.730207,1.236869,0.373628
,,,,,,3709285462,0.730207,1.239251,0.366484
,,,,,,3709285492,0.730207,1.201149,0.353387
,,,,,,3709285522,0.735235,1.204126,0.37601
,,,,,,3709285552,0.75032,1.209484,0.399823
,,,,,,3709285582,0.720151,1.192814,0.388512
,,,,,,3709285612,0.765404,1.169001,0.361721
,,,,,,3709285642,0.740263,1.207698,0.38494
,,,,,,3709285672,0.745291,1.223177,0.356363
,,,,,,3709285702,0.725179,1.210079,0.378986
,,,,,,3709285732,0.755348,1.194005,0.353387
,,,,,,3709285762,0.740263,1.19341,0.362912
,,,,,,3709285792,0.745291,1.196386,0.374224
,,,,,,3709285822,0.735235,1.214246,0.373628
,,,,,,3709285852,0.730207,1.233297,0.359935
,,,,,,3709285882,0.745291,1.183289,0.364698
,,,,,,3709285912,0.725179,1.205912,0.356959
,,,,,,3709285942,0.75032,1.171977,0.353387
,,,,,,3709285972,0.725179,1.214246,0.346838
,,,,,,3709286002,0.710094,1.219009,0.348624
,,,,,,3709286032,0.740263,1.163643,0.351005
,,,,,,3709286062,0.760376,1.188647,0.349815
,,,,,,3709286092,0.75032,1.207102,0.361126
,,,,,,3709286122,0.745291,1.207102,0.340885
,,,,,,3709286152,0.740263,1.210079,0.353387
,,,,,,3709286182,0.745291,1.179717,0.35041
,,,,,,3709286212,0.730207,1.170191,0.37601
,,,,,,3709286242,0.720151,1.204721,0.342075
,,,,,,3709286272,0.755348,1.173168,0.328383
,,,,,,3709286302,0.730207,1.216032,0.343861
,,,,,,3709286332,0.740263,1.16781,0.346838
,,,,,,3709286362,0.75032,1.175549,0.343266
,,,,,,3709286392,0.735235,1.19341,0.364698
,,,,,,3709286422,0.735235,1.218414,0.365294
,,,,,,3709286452,0.730207,1.191028,0.375414
,,,,,,3709286482,0.725179,1.188647,0.333145
,,,,,,3709286512,0.725179,1.202935,0.354577
,,,,,,3709286542,0.745291,1.181503,0.343266
,,,,,,3709286572,0.735235,1.19341,0.331955
,,,,,,3709286602,0.735235,1.180312,0.351601
,,,,,,3709286632,0.75032,1.17674,0.357554
,,,,,,3709286662,0.715123,1.160071,0.361721
,,,,,,3709286692,0.715123,1.199958,0.351601
,,,,,,3709286722,0.725179,1.187456,0.353387
,,,,,,3709286752,0.730207,1.164833,0.349219
,,,,,,3709286782,0.735235,1.204721,0.339099
,,,,,,3709286812,0.730207,1.16781,0.313499
,,,,,,3709286842,0.735235,1.189242,0.32481
,,,,,,3709286872,0.725179,1.179717,0.340885
,,,,,,3709286902,0.710094,1.192219,0.312904
,,,,,,3709286932,0.720151,1.222581,0.311713
,,,,,,3709286962,0.735235,1.165429,0.343861
,,,,,,3709286992,0.730207,1.179121,0.338503
,,,,,,3709287022,0.689982,1.197577,0.321834
,,,,,,3709287052,0.725179,1.151141,0.325406
,,,,,,3709287082,0.705066,1.198172,0.321238
,,,,,,3709287112,0.715123,1.158285,0.311118
,,,,,,3709287142,0.725179,1.162452,0.309927
,,,,,,3709287172,0.725179,1.182098,0.34148
,,,,,,3709287202,0.715123,1.189242,0.312904
,,,,,,3709287232,0.705066,1.163643,0.330169
,,,,,,3709287262,0.735235,1.185075,0.343266
,,,,,,3709287292,0.730207,1.154117,0.319452
,,,,,,3709287322,0.700038,1.189838,0.303974
,,,,,,3709287352,0.710094,1.180907,0.310522
,,,,,,3709287382,0.725179,1.117802,0.311713
,,,,,,3709287412,0.705066,1.160071,0.312904
,,,,,,3709287442,0.720151,1.184479,0.312904
,,,,,,3709287472,0.725179,1.146973,0.330764
,,,,,,3709287502,0.705066,1.180312,0.321834
,,,,,,3709287532,0.700038,1.192814,0.307546
,,,,,,3709287562,0.715123,1.143996,0.292662
,,,,,,3709287592,0.725179,1.161261,0.309927
,,,,,,3709287622,0.735235,1.138043,0.302783
,,,,,,3709287652,0.700038,1.174954,0.325406
,,,,,,3709287682,0.715123,1.167215,0.32362
,,,,,,3709287712,0.735235,1.158285,0.326001
,,,,,,3709287742,0.700038,1.164238,0.303974
,,,,,,3709287772,0.705066,1.150545,0.326597
,,,,,,3709287802,0.725179,1.154117,0.316476
,,,,,,3709287832,0.689982,1.147569,0.306355
,,,,,,3709287862,0.720151,1.128518,0.312308
,,,,,,3709287892,0.684954,1.184479,0.300997
,,,,,,3709287922,0.720151,1.139829,0.32362
,,,,,,3709287952,0.69501,1.143401,0.315285
,,,,,,3709287982,0.705066,1.152331,0.303378
,,,,,,3709288012,0.705066,1.155308,0.300997
,,,,,,3709288042,0.684954,1.163643,0.311713
,,,,,,3709288072,0.710094,1.182693,0.301592
,,,,,,3709288102,0.715123,1.140424,0.305164
,,,,,,3709288132,0.705066,1.196386,0.29802
,,,,,,3709288162,0.730207,1.124946,0.302783
,,,,,,3709288192,0.710094,1.149355,0.290281
,,,,,,3709288222,0.705066,1.139234,0.324215
,,,,,,3709288252,0.700038,1.142806,0.283137
,,,,,,3709288282,0.69501,1.189242,0.282541
,,,,,,3709288312,0.720151,1.120183,0.29683
,,,,,,3709288342,0.700038,1.147569,0.283732
,,,,,,3709288372,0.705066,1.177335,0.301592
,,,,,,3709288402,0.710094,1.145187,0.303974
,,,,,,3709288432,0.69501,1.176145,0.290876
,,,,,,3709288462,0.720151,1.136257,0.306355
,,,,,,3709288492,0.689982,1.116611,0.303974
,,,,,,3709288522,0.69501,1.152331,0.302783
,,,,,,3709288552,0.715123,1.141615,0.293853
,,,,,,3709288582,0.715123,1.121374,0.300997
,,,,,,3709288612,0.700038,1.127922,0.281946
,,,,,,3709288642,0.700038,1.145782,0.277779
,,,,,,3709288672,0.689982,1.168405,0.281351
,,,,,,3709288702,0.725179,1.099346,0.291472
,,,,,,3709288732,0.720151,1.146378,0.300402
,,,,,,3709288762,0.689982,1.130304,0.290876
,,,,,,3709288792,0.69501,1.137448,0.264681
,,,,,,3709288822,0.684954,1.110658,0.29683
,,,,,,3709288852,0.710094,1.136852,0.279565
,,,,,,3709288882,0.69501,1.113634,0.286709
,,,,,,3709288912,0.705066,1.116611,0.284923
,,,,,,3709288942,0.69501,1.121374,0.298616
,,,,,,3709288972,0.700038,1.135662,0.273016
,,,,,,3709289002,0.679925,1.108871,0.293258
,,,,,,3709289032,0.700038,1.10649,0.273611
,,,,,,3709289062,0.705066,1.095774,0.27123
,,,,,,3709289092,0.700038,1.138638,0.293853
,,,,,,3709289122,0.69501,1.14995,0.255751
,,,,,,3709289152,0.705066,1.109467,0.260514
,,,,,,3709289182,0.679925,1.164238,0.276588
,,,,,,3709289212,0.69501,1.129708,0.273016
,,,,,,3709289242,0.674897,1.11423,0.293853
,,,,,,3709289272,0.679925,1.152927,0.264086
,,,,,,3709289302,0.679925,1.144592,0.277183
,,,,,,3709289332,0.674897,1.152927,0.255751
,,,,,,3709289362,0.69501,1.116016,0.278969
,,,,,,3709289392,0.689982,1.093988,0.269444
,,,,,,3709289422,0.679925,1.121969,0.265277
,,,,,,3709289452,0.69501,1.108276,0.259323
,,,,,,3709289482,0.700038,1.112444,0.279565
,,,,,,3709289512,0.705066,1.129113,0.285518
,,,,,,3709289542,0.684954,1.098751,0.25337
,,,,,,3709289572,0.664841,1.125541,0.277183
,,,,,,3709289602,0.659813,1.091011,0.269444
,,,,,,3709289632,0.669869,1.130899,0.255156
,,,,,,3709289662,0.674897,1.107085,0.249798
,,,,,,3709289692,0.674897,1.087439,0.270635
,,,,,,3709289722,0.689982,1.117802,0.273016
,,,,,,3709289752,0.679925,1.08863,0.250393
,,,,,,3709289782,0.669869,1.14102,0.261705
,,,,,,3709289812,0.700038,1.11542,0.269444
,,,,,,3709289842,0.674897,1.111253,0.265872
,,,,,,3709289872,0.679925,1.08863,0.270635
,,,,,,3709289902,0.674897,1.099941,0.255751
,,,,,,3709289932,0.69501,1.110062,0.274207
,,,,,,3709289962,0.684954,1.111848,0.264086
,,,,,,3709289992,0.669869,1.108871,0.252775
,,,,,,3709290022,0.679925,1.098751,0.265277
,,,,,,3709290052,0.649756,1.140424,0.25337
,,,,,,3709290082,0.659813,1.093393,0.267658
,,,,,,3709290112,0.669869,1.104109,0.249798
,,,,,,3709290142,0.669869,1.113039,0.278374
,,,,,,3709290172,0.679925,1.096965,0.269444
,,,,,,3709290202,0.679925,1.048742,0.269444
,,,,,,3709290232,0.684954,1.080891,0.265872
,,,,,,3709290262,0.684954,1.068984,0.254561
